seller_id,baseline_volume,recent_volume,baseline_review,recent_review,baseline_delay,recent_delay,baseline_rate,recent_rate,volume_decay,review_decay,delay_surge,SFI,future_orders,is_inactive
001cca7ae9ae17fb1caed9dfb1094831,158,18.0,4.058064516129032,3.9444444444444446,1.9626736111111112,3.7530497685185193,17.555555555555557,6.0,0.6582278481012659,0.027998586822116,0.9122128851540616,0.5707530845386393,8.0,0
002100f778ceb8431b7a1020ff7ab48f,39,10.0,3.948717948717949,3.9,4.014131944444444,2.895914351851852,4.333333333333333,3.333333333333333,0.2307692307692306,0.0123376623376624,0.0,0.0729320679320679,2.0,0
004c9cd9d87a3c30c522c48c4fc07416,108,19.0,4.09433962264151,4.0,1.6541087962962964,0.9001736111111112,12.0,6.333333333333333,0.4722222222222222,0.0230414746543779,0.0,0.14857910906298,7.0,0
00ee68308b45bc5e2660cd833c3f81cc,41,76.0,4.463414634146342,4.226666666666667,1.147662037037037,1.833148148148148,4.555555555555555,25.33333333333333,0.0,0.0530418943533698,0.5972891748522562,0.2548282382469135,18.0,0
013900e863eace745d3ec7614cab5b1a,8,11.0,5.0,4.363636363636363,3.119085648148148,1.950625,0.8888888888888888,3.6666666666666665,0.0,0.1272727272727273,0.0,0.0381818181818182,2.0,0
014c0679dd340a0e338872e7ec85666a,5,5.0,4.4,3.6,6.259976851851852,6.910231481481482,0.5555555555555556,1.6666666666666667,0.0,0.1818181818181818,0.1038749255817565,0.0960954247781571,2.0,0
01bcc9d254a0143f0ce9791b960b2a47,9,2.0,4.375,4.5,1.9242939814814812,1.2493344907407409,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.1,0.0,1
01c97ebb5cdac52891c0ed1c37ba0012,5,3.0,4.6,3.333333333333333,1.0595949074074074,0.4492939814814815,0.5555555555555556,1.0,0.0,0.2753623188405796,0.0,0.0826086956521738,1.0,0
01cf7e3d21494c41fb86034f2e714fa1,32,5.0,3.90625,3.8,2.314074074074074,2.958090277777778,3.555555555555556,1.6666666666666667,0.53125,0.0272,0.2783040572983355,0.2788566229193342,0.0,1
01ed254b9ff8407dfb9d99ba1e17d923,5,0.0,5.0,,0.8997800925925926,,0.5555555555555556,0.0,1.0,0.0,0.0,0.3,0.0,1
01fdefa7697d26ad920e9e0346d4bd1b,66,24.0,4.363636363636363,4.208333333333333,1.9292129629629629,1.5228182870370373,7.333333333333333,8.0,0.0,0.0355902777777777,0.0,0.0106770833333333,39.0,0
0241d4d5d36f10f80c644447315af0bd,25,71.0,4.44,4.171428571428572,2.133599537037037,2.3847222222222224,2.7777777777777777,23.666666666666668,0.0,0.0604890604890605,0.1176990718389091,0.0652263468822818,142.0,0
0249d282d911d23cb8b869ab49c99f53,10,1.0,4.2,5.0,2.612638888888889,14.149247685185186,1.1111111111111112,0.3333333333333333,0.7000000000000001,0.0,1.0,0.6100000000000001,0.0,1
02c988090b766852e088c69d7fb3b551,6,2.0,4.2,5.0,1.6432986111111112,2.191707175925926,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3337242307069255,0.1334896922827702,5.0,0
02d35243ea2e497335cd0f076b45675d,12,1.0,2.9166666666666665,1.0,10.561244212962963,23.481284722222224,1.3333333333333333,0.3333333333333333,0.75,0.6571428571428571,1.0,0.8221428571428572,1.0,0
02ecc2a19303f05e59ce133fd923fff7,9,6.0,4.777777777777778,4.0,4.611284722222222,3.924351851851852,1.0,2.0,0.0,0.1627906976744186,0.0,0.0488372093023255,6.0,0
02f5837340d7eb4f653d676c7256523a,12,13.0,4.916666666666667,4.6923076923076925,3.613865740740741,2.1002314814814813,1.3333333333333333,4.333333333333333,0.0,0.045632333767927,0.0,0.0136897001303781,5.0,0
04308b1ee57b6625f47df1d56f00eedf,7,38.0,3.857142857142857,4.052631578947368,3.184988425925926,3.632563657407408,0.7777777777777778,12.666666666666666,0.0,0.0,0.1405264860111272,0.0562105944044508,49.0,0
0432ead42b6c8a0bdf68154add917fdf,76,7.0,4.5131578947368425,3.857142857142857,1.2817361111111112,1.0645023148148147,8.444444444444445,2.333333333333333,0.7236842105263157,0.1453561016243232,0.0,0.2607120936451917,2.0,0
048c2757535328e0d7dac690ad3c0aae,19,9.0,4.555555555555555,2.888888888888889,2.8724421296296296,2.5641203703703703,2.111111111111111,3.0,0.0,0.3658536585365853,0.0,0.1097560975609756,18.0,0
04aa0a1c5ce6b222003403a3e11c3cc0,9,1.0,4.0,4.0,2.982488425925926,14.294722222222225,1.0,0.3333333333333333,0.6666666666666667,0.0,1.0,0.6000000000000001,0.0,1
04aba03279157f6d4e0fe8ccaf21963c,9,4.0,4.555555555555555,4.25,2.136597222222222,2.8758043981481483,1.0,1.3333333333333333,0.0,0.0670731707317072,0.3459740414513387,0.1585115678000476,3.0,0
04e38a233f726ef161074ab1c9b0399a,15,4.0,3.4,4.5,4.899456018518518,3.5627488425925926,1.6666666666666667,1.3333333333333333,0.2,0.0,0.0,0.06,4.0,0
0509040ea3fe50071181bbc359eb7738,56,24.0,4.537037037037037,4.291666666666667,1.3723611111111111,2.037199074074074,6.222222222222222,8.0,0.0,0.0540816326530611,0.4844482677191917,0.210003796883595,9.0,0
054694fa03fe82cec4b7551487331d74,8,3.0,2.75,3.0,9.405920138888888,12.901840277777778,0.8888888888888888,1.0,0.0,0.0,0.3716723177815391,0.1486689271126156,1.0,0
058fd0aa2bfdb2274e05e1ae971dabb6,36,11.0,4.305555555555555,4.363636363636363,1.8321354166666663,1.293564814814815,4.0,3.6666666666666665,0.0833333333333333,0.0,0.0,0.025,14.0,0
05a940b4ecae36cadfd8e93bd9c43257,7,3.0,4.714285714285714,2.0,2.2629282407407407,7.3714814814814815,0.7777777777777778,1.0,0.0,0.5757575757575758,1.0,0.5727272727272728,0.0,1
05d2173d43ea568aa0540eba70d2ca76,12,32.0,4.583333333333333,4.066666666666666,1.9174421296296296,2.610625,1.3333333333333333,10.666666666666666,0.0,0.1127272727272727,0.3615143631501746,0.1784239270782516,18.0,0
05f51e13da97139648b8125c31e5f51b,56,4.0,4.089285714285714,3.75,3.110474537037037,3.4730324074074077,6.222222222222222,1.3333333333333333,0.7857142857142858,0.0829694323144105,0.1165603080987552,0.3072292386481109,0.0,1
05ff92fedb5be47920fea08e501238b9,24,7.0,4.083333333333333,4.0,1.9309837962962964,2.871840277777778,2.6666666666666665,2.333333333333333,0.1249999999999998,0.020408163265306,0.4872420386365135,0.2385192644341972,12.0,0
062ce95fa2ad4dfaedfc79260130565f,45,0.0,3.977777777777778,,5.666805555555555,,5.0,0.0,1.0,0.0,0.0,0.3,0.0,1
06532f10282704ef4c69168b914b77be,5,0.0,3.8,,2.5949074074074074,,0.5555555555555556,0.0,1.0,0.0,0.0,0.3,0.0,1
06579cb253ecd5a3a12a9e6eb6bf8f47,31,12.0,4.258064516129032,3.4166666666666665,1.989861111111111,1.569994212962963,3.4444444444444446,4.0,0.0,0.19760101010101,0.0,0.059280303030303,19.0,0
066a6914e1ebf3ea95a216c73a986b91,27,13.0,4.153846153846154,3.3846153846153846,3.0342592592592594,2.338368055555556,3.0,4.333333333333333,0.0,0.1851851851851852,0.0,0.0555555555555555,11.0,0
0691148aee60ca47977c187804f935ae,5,9.0,4.2,3.4444444444444446,1.0328703703703703,1.129386574074074,0.5555555555555556,3.0,0.0,0.1798941798941798,0.0934446436575527,0.091346111431275,33.0,0
